date,year,month,period,url,international_arrivals,asia_arrivals,europe_arrivals,americas_arrivals,oceania_arrivals,other_markets_arrivals,international_matched_label,asia_matched_label,europe_matched_label,americas_matched_label,oceania_matched_label,other_markets_matched_label,log_international_arrivals,international_arrivals_mom_growth_pct,international_arrivals_yoy_growth_pct,log_asia_arrivals,asia_arrivals_mom_growth_pct,asia_arrivals_yoy_growth_pct,log_europe_arrivals,europe_arrivals_mom_growth_pct,europe_arrivals_yoy_growth_pct,log_americas_arrivals,americas_arrivals_mom_growth_pct,americas_arrivals_yoy_growth_pct,log_oceania_arrivals,oceania_arrivals_mom_growth_pct,oceania_arrivals_yoy_growth_pct,log_other_markets_arrivals,other_markets_arrivals_mom_growth_pct,other_markets_arrivals_yoy_growth_pct
2018-10-01,2018,10,t10,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t10,1205157,960172.0,139393.0,63274.0,38624.0,10534.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.00212040687626,-0.6135591626896697,17.587879391042428,13.774867714062255,-3.4470275559077335,20.015049191105973,11.8450525608397,9.585691823899367,10.072016298425424,11.055229781258411,16.099082568807344,11.370436864153199,10.561629123897259,16.01237497371819,0.6331257653526379,9.262363400043334,-24.29207991950554,-48.612127420849795
2018-11-01,2018,11,t11,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t11,1301909,994349.0,196578.0,76522.0,31084.0,11958.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.07934220683494,8.02816562489368,11.030575625464788,13.809843530655037,3.5594664289314792,14.855781836747184,12.188814578093893,41.02429820722704,-0.33462111763453706,11.245333560170282,20.937509877674863,2.893639908565282,10.344448496329132,-19.521541010770505,-4.073571164053824,9.38915578944085,13.518131763812423,-41.95145631067961
2018-12-01,2018,12,t12,https://vietnamtourism.gov.vn/statistic/international?year=2018&period=t12,1374235,1091610.0,170743.0,73133.0,34141.0,14056.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.133407770618767,5.55538059879761,7.668881571164099,13.903164228639145,9.781374547568312,9.415939138191987,12.04791478098508,-13.142365880210406,2.1410112225120237,11.200034980259629,-4.428791720028224,2.279624631134358,10.438254287073526,9.834641616265593,-5.153350372263588,9.550804629866933,17.544739923064068,-39.805575778339254
2019-01-01,2019,1,t1,https://vietnamtourism.gov.vn/statistic/international?year=2019&period=t1,1374235,1091610.0,170743.0,73133.0,34141.0,14056.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.133407770618767,0.0,7.668881571164099,13.903164228639145,0.0,9.415939138191987,12.04791478098508,0.0,2.1410112225120237,11.200034980259629,0.0,2.279624631134358,10.438254287073526,0.0,-5.153350372263588,9.550804629866933,0.0,-39.805575778339254
2019-02-01,2019,2,t2,https://vietnamtourism.gov.vn/statistic/international?year=2019&period=t2,1588161,1219310.0,228986.0,103305.0,33084.0,13559.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.278087301040495,15.56691541111963,10.917103457427313,14.013795682941772,11.698317164555117,13.269402091467564,12.341416145296355,34.11150091072548,6.105862128085482,11.545441056646908,41.25634118660522,1.5142879603789128,10.406805060811797,-3.0959843004012777,-5.33905579399142,9.51480581246231,-3.535856573705176,7.432057681641702
2019-03-01,2019,3,t3,https://vietnamtourism.gov.vn/statistic/international?year=2019&period=t3,1410187,1067426.0,223742.0,84845.0,30855.0,12822.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.159232877674025,-11.206294575927755,4.9782106045198615,13.880760700839025,-12.456553296536566,3.6291653560430515,12.318248881307962,-2.2900963377673778,9.430695490560502,11.348581341406927,-17.86941580756014,10.534269597050505,10.337054090755167,-6.737395719985495,6.983114316424532,9.458917724547202,-5.43550409322221,3.5702746365104954
2019-04-01,2019,4,t4,https://vietnamtourism.gov.vn/statistic/international?year=2019&period=t4,1468766,1132070.0,206205.0,81863.0,44298.0,17462.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.199933150432292,4.153988088104632,9.453146366418697,13.93955837328924,6.0560638395542155,11.468536701601817,12.23662609857363,-7.838045606099886,4.32835820895523,11.312802397310374,-3.5146443514644354,0.9657128761716871,10.69869480828722,43.5683033543996,0.984817398440696,9.767782370370753,36.18780221494306,3.0875494421158223
2019-05-01,2019,5,t5,https://vietnamtourism.gov.vn/statistic/international?year=2019&period=t5,1326668,1080932.0,143270.0,66260.0,32536.0,11556.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.098181093617132,-9.674652054854215,14.25820375949305,13.893334189924907,-4.517211833190526,16.180651318964422,11.872486240887419,-30.520598433597634,7.330411656740465,11.101341675853886,-19.059892747639353,3.876965525890852,10.39010244758706,-26.55198880310623,7.703002416498395,9.354960061586127,-33.82201351506128,11.879175137961084
2019-06-01,2019,6,t6,https://vietnamtourism.gov.vn/statistic/international?year=2019&period=t6,1185445,964123.0,113074.0,77259.0,28077.0,10211.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,13.985628789484753,-10.644939050312507,0.19803871517418692,13.778974158814338,-10.806322691899217,-0.40010495911140254,11.63579775061912,-21.076289523277726,2.2701783582359525,11.254918692828197,16.599758527014785,7.399633007117434,10.242706014825366,-13.704819277108438,-6.043569922698522,9.231220849555537,-11.638975424022158,11.987277911822769
2019-07-01,2019,7,t7,https://vietnamtourism.gov.vn/statistic/international?year=2019&period=t7,1315792,1033367.0,150355.0,88231.0,40121.0,11140.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.089949323664191,10.995617679436842,10.680786025098898,13.848332960901688,7.182071167268078,12.155120673169284,11.92075444360033,32.97044413393,5.393943642226273,11.387713654165296,14.201581692747766,13.36374148785815,10.59965516698957,42.89632083199773,-7.653178658564652,9.318297513481275,9.098031534619523,14.975745690989783
2019-08-01,2019,8,t8,https://vietnamtourism.gov.vn/statistic/international?year=2019&period=t8,1512447,1227467.0,180433.0,68953.0,31685.0,14193.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.229239426950858,14.945751304157495,14.272341119991294,14.020463254379047,18.783258997045582,17.317705844346996,12.103114796710857,20.00465564829903,3.785403676690513,11.141180392064626,-21.849463340549235,5.144939691059647,10.363598661757617,-21.026395154657163,-7.299590403744882,9.560504164299259,27.405745062836615,18.80964339527875
2019-09-01,2019,9,t9,https://vietnamtourism.gov.vn/statistic/international?year=2019&period=t9,1561274,1327814.0,134278.0,61768.0,33204.0,12065.0,Tổng số,Châu Á,Châu Âu,Châu Mỹ,Châu Úc,Các thị trường khác thuộc châu Á,14.26101271260161,3.228344530419913,28.75456561413232,14.0990445389682,8.175128129717546,33.52231532775372,11.807667556732232,-25.580132237451025,5.564465408805042,11.031140709988652,-10.420141255637894,13.33577981651377,10.410425629574926,4.794066593025081,-0.2673234613882802,9.398063978059133,-14.993306559571618,-13.288773896794591
