date,year,month,international_arrivals,asia_arrivals,europe_arrivals,americas_arrivals,oceania_arrivals,other_markets_arrivals,was_imputed,quality_flag,covid_period,recovery_period,log_international_arrivals,international_arrivals_mom_growth_pct,international_arrivals_yoy_growth_pct,log_asia_arrivals,asia_arrivals_mom_growth_pct,asia_arrivals_yoy_growth_pct,log_europe_arrivals,europe_arrivals_mom_growth_pct,europe_arrivals_yoy_growth_pct,log_americas_arrivals,americas_arrivals_mom_growth_pct,americas_arrivals_yoy_growth_pct,log_oceania_arrivals,oceania_arrivals_mom_growth_pct,oceania_arrivals_yoy_growth_pct,log_other_markets_arrivals,other_markets_arrivals_mom_growth_pct,other_markets_arrivals_yoy_growth_pct
2017-07-01,2017,7,1036880,784981,135380,70575,42958,2986,False,observed,0,0,13.851726762097258,9.218612078427402,21.068892319117083,13.573414792649972,5.163167618070275,24.328412343180062,11.815840918062598,27.847240584746725,11.081937082560668,11.16443125312169,9.63106796116504,9.423694125308145,10.667978173164208,40.42692295119479,17.796424262367005,8.001689978099135,44.740668928744554,34.38343834383439
2017-08-01,2017,8,1229163,967302,164272,60155,34216,3218,False,observed,0,0,14.021844007906806,18.54438314944835,35.092749921416996,13.782266031779377,23.226167257551467,43.1915681020828,12.009278869538745,21.34140936622839,9.363744698982067,11.004679843467624,-14.764434998228836,12.536012272234064,10.440448649906745,-20.350109409190374,20.900321543408353,8.076515327552329,7.76959142665774,35.55181128896376
2017-09-01,2017,9,975952,774217,115634,49177,34096,2828,False,observed,0,0,13.791168683857968,-20.600278400830486,18.56524142455369,13.559607475034957,-19.961191024106228,21.528538644347673,11.658185309623358,-29.608210772377518,5.672274667129695,10.803181313502913,-18.24952206799102,9.003657320181757,10.436935354338399,-0.3507131166705646,16.190151644232408,7.947325027016463,-12.11932877563704,29.605866177818505
2017-10-01,2017,10,1024899,800043,126638,56814,38381,3023,False,observed,0,0,13.840104629114231,5.015308129908025,24.661586459809403,13.592420755205584,3.3357572876854924,29.39523915807043,11.749087901631702,9.516232250030265,8.252410586063053,10.947538053211556,15.529617504117788,7.968301628627361,10.555317824459362,12.567456593148751,20.694968553459113,8.014004994779459,6.895332390381892,23.589533932951756
2017-11-01,2017,11,1172568,865737,197238,74370,32404,2819,False,observed,0,0,13.974706773356491,14.408151437361138,25.17018421634132,13.671336446269747,8.211308642160486,30.642182175958755,12.192166400355605,55.74945908810942,9.608940410231902,11.216807913697346,30.90083430140458,15.713152121485585,10.386037150950381,-15.572809463015558,18.219627873039034,7.9441374911141125,-6.748263314588154,13.991103922361514
2017-12-01,2017,12,1276353,997670,167164,71503,35996,4020,False,observed,0,0,14.059517350395513,8.851085821888361,42.2470602789099,13.813177839290447,15.239385633281245,52.954938491163084,12.02673064544521,-15.247568926880216,12.321771733433673,11.177494685843843,-3.855049078929673,13.482414931437269,10.49116310015384,11.085051228243437,21.255810819915123,8.299037181613066,42.603760198652,15.021459227467805
2018-01-01,2018,1,1354099,1037070,191486,86634,35473,3436,True,stale_repeated_vector,0,0,14.118646846472748,6.091261586724039,29.16478275385128,13.85190998734428,3.9492016398207763,35.041662163411516,12.162569977880779,14.549783446196551,11.537879052645073,11.369447627199275,21.161349873431877,14.458977407847806,10.476527122708163,-1.4529392154683851,18.03873286303741,8.142063283104147,-14.5273631840796,15.768194070080854
2018-02-01,2018,2,1431845,1076469,215809,101764,34950,2853,False,observed,0,0,14.174474380420868,5.741529976759452,19.378016559656697,13.889196798344509,3.7990685296074522,21.819089199263964,12.282149036219199,12.702234105887644,10.939242992047449,11.530411685977503,17.464274995960018,15.155424290774121,10.461673747661957,-1.47436078143941,14.902850379721876,7.9561263512135,-16.9674039580908,16.83046683046683
2018-03-01,2018,3,1343314,1030044,204460,76759,28841,3210,False,observed,0,0,14.110650253091636,-6.183001651715092,19.07355305822516,13.845112077740014,-4.312711281049431,21.884850951844513,12.228127636311005,-5.258816824136159,18.139217759595994,11.248425922418225,-24.571557721787663,-1.4596384923487693,10.269553264861555,-17.479256080114446,-2.26371615439358,8.07402621612406,12.513144058885395,24.90272373540856
2018-04-01,2018,4,1341913,1015596,197650,81080,43866,3721,False,observed,0,0,14.10960676579829,-0.1042943049800682,27.89649052913694,13.830986190246417,-1.4026585272085446,26.570263846948585,12.194253068724832,-3.3307248361537756,32.37914082488314,11.303191600565937,5.629307312497556,22.294453913332024,10.68889481152137,52.0959744807739,53.894190289082246,8.221747728346623,15.919003115264797,37.205014749262546
2018-05-01,2018,5,1161114,930389,133485,63787,30209,3244,False,observed,0,0,13.964890447074056,-13.473228145192717,19.35253750858308,13.743358057244818,-8.389851870231869,22.24652991291276,11.801744390959072,-32.463951429294205,5.678795363860911,11.06330468681515,-21.328317710902812,15.816326530612246,10.315895172210867,-31.133451876168326,9.727216592205146,8.084562415235304,-12.819134641225482,13.86451386451386
2018-06-01,2018,6,1183102,967996,110564,71936,29883,2723,False,observed,0,0,13.983650360714503,1.893698637687602,24.620745300528135,13.782983234018772,4.042072724419565,29.68151535084487,11.61334981779711,-17.171217739820953,4.412042458353804,11.183532113813309,12.77533039647578,11.74524271844659,10.305045035813276,-1.0791485980998994,-2.314406197901342,7.909489492673759,-16.060419235511713,31.992244304411056
2018-07-01,2018,7,1188817,921373,142660,77830,43446,3508,False,observed,0,0,13.988469252977975,0.4830521797782428,14.65328678342721,13.733620227820397,-4.816445522502155,17.375197616248037,11.86821945583203,29.02934047248653,5.377456049638063,11.262282239953434,8.193394128113884,10.279844137442428,10.679274066616875,45.387009336412,1.1359932957772712,8.162801353492073,28.828497980168933,17.481580709979916
